Row ID,Order ID,Order Date,Ship Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin
115,769,2018-06-01,2018-06-02,Medium,37,4261.94,0.02,Delivery Truck,4.150000000,115.99,56.14,Roy French,Munster,46321,Indiana,Central,Consumer,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Jumbo Drum,0.4
117,772,2018-04-16,2018-04-18,High,35,589.24,0.08,Regular Air,-38.35,17.52,8.17,Pamela Stobb,Oceanside,11572,New York,East,Consumer,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,Medium Box,0.5
118,772,2018-04-16,2018-04-18,High,25,233.05,0.1,Regular Air,86.93,9.9,1.39,Pamela Stobb,Oceanside,11572,New York,East,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37
119,773,2018-09-25,2018-09-26,Medium,38,2071.3395,0.06,Regular Air,324.927,65.99,8.99,Helen Abelman,Merrillville,46410,Indiana,Central,Home Office,Technology,Telephones and Communication,Talkabout T8367,Small Box,0.56
127,807,2018-11-23,2018-11-24,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,Joliet,60432,Illinois,Central,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4
128,807,2018-11-23,2018-11-24,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,2,Neola Schneider,Joliet,60432,Illinois,Central,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53
136,870,2018-06-19,2018-06-19,Not Specified,23,1661.04,0.04,Regular Air,475.54,70.97,3.5,Valerie Dominguez,Orlando,32839,Florida,South,Corporate,Office Supplies,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Small Box,0.59
138,896,2018-03-08,2018-03-08,Critical,50,1246.52,0.01,Regular Air,52.479,24.92,12.98,Edward Nazzal,The Colony,75056,Texas,Central,Home Office,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.39
139,898,2018-06-02,2018-06-04,High,40,676.13,0.03,Regular Air,45.39,15.98,6.5,Sanjit Jacobs,Hagerstown,21740,Maryland,East,Consumer,Technology,Computer Peripherals,Logitech Access Keyboard,Small Box,0.48
140,898,2018-06-02,2018-06-02,High,26,7668.55,0.04,Delivery Truck,-715.778206,296.18,54.12,Sanjit Jacobs,Hagerstown,21740,Maryland,East,Consumer,Furniture,Tables,Hon 94000 Series Round Tables,Jumbo Box,0.76
162,999,2018-09-04,2018-09-11,Low,6,583.64,0.08,Regular Air,-179.5,95.43,19.99,Max Jones,Radnor,19087,Pennsylvania,East,Home Office,Office Supplies,Storage & Organization,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Small Box,0.79
168,1058,2018-04-25,2018-04-26,Medium,3,469.438,0.07,Regular Air,-888.162,195.99,8.99,Jim Epp,Blacksburg,24060,Virginia,South,Small Business,Technology,Telephones and Communication,T28 WORLD,Small Box,0.6
171,1060,2018-02-20,2018-02-22,Medium,30,1187.55,0,Regular Air,532.61,37.7,2.99,Harold Dahlen,Pendleton,97801,Oregon,West,Corporate,Office Supplies,Binders and Binder Accessories,Vinyl Sectional Post Binders,Small Box,0.35
188,1222,2018-02-04,2018-02-04,Medium,48,257.39,0.08,Regular Air,-121.91,5.28,5.57,Nicole Brennan,Rock Springs,82901,Wyoming,West,Home Office,Office Supplies,Paper,Xerox 1981,Small Box,0.4
189,1253,2018-01-25,2018-01-25,Critical,15,494.34,0.05,Regular Air,-30.19,31.98,6.72,Tanja Norvell,Saint Cloud,34769,Florida,South,Consumer,Office Supplies,Storage & Organization,Fellowes Bankers Box™ Stor/Drawer® Steel Plus™,Small Box,0.75
190,1280,2018-01-10,2018-01-10,Low,40,827.27,0.05,Regular Air,-170.87,20.97,6.5,Harold Dahlen,Pendleton,97801,Oregon,West,Corporate,Technology,Computer Peripherals,Microsoft Internet Keyboard,Small Box,0.78
195,1286,2018-05-13,2018-05-14,Not Specified,46,234.37,0.05,Regular Air,-144.6815,5.18,5.74,Lena Creighton,Norristown,19401,Pennsylvania,East,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones Impact Binders,Small Box,0.36
196,1286,2018-05-13,2018-05-15,Not Specified,14,1000.3565,0.06,Regular Air,229.779,85.99,3.3,Lena Creighton,Norristown,19401,Pennsylvania,East,Home Office,Technology,Telephones and Communication,Accessory20,Small Pack,0.37
207,1382,2018-08-16,2018-08-20,Low,5,89.335,0.06,Regular Air,-107.096,20.99,2.5,Corey Catlett,Glastonbury,06033,Connecticut,East,Home Office,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81
208,1382,2018-08-16,2018-08-23,Low,39,158.46,0.06,Regular Air,-130.663,3.98,5.26,Corey Catlett,Norwich,06360,Connecticut,East,Home Office,Office Supplies,Binders and Binder Accessories,Ibico Presentation Index for Binding Systems,Small Box,0.38
209,1382,2018-08-16,2018-08-23,Low,31,7180.83,0.02,Delivery Truck,487.17,220.98,64.66,Corey Catlett,Shelton,06484,Connecticut,East,Home Office,Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",Jumbo Box,0.62
210,1383,2018-04-26,2018-04-27,High,43,17129.97,0.07,Regular Air,5616.08,415.88,11.37,Frank Merwin,Tooele,84074,Utah,West,Consumer,Office Supplies,Storage & Organization,Deluxe Rollaway Locking File with Drawer,Small Box,0.57
213,1412,2018-03-12,2018-03-14,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,Wilmette,60091,Illinois,Central,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38
214,1412,2018-03-12,2018-03-14,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Wilmette,60091,Illinois,Central,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8
226,1507,2018-10-13,2018-10-15,Medium,29,4345.86,0.09,Regular Air,126.62,152.48,4,Harold Ryan,Westerville,43081,Ohio,East,Home Office,Technology,Computer Peripherals,Adesso Programmable 142-Key Keyboard,Small Box,0.79
232,1542,2018-09-14,2018-09-16,Medium,47,2150.25,0.06,Regular Air,586.93,48.58,3.99,Linda Southworth,Ormond Beach,32174,Florida,South,Consumer,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,Small Box,0.56
233,1542,2018-09-14,2018-09-16,Medium,13,448,0.08,Regular Air,27.2,35.51,6.31,Linda Southworth,Oviedo,32765,Florida,South,Consumer,Office Supplies,Storage & Organization,Steel Personal Filing/Posting Tote,Small Box,0.58
237,1600,2018-03-02,2018-03-04,Medium,32,303.59,0.1,Regular Air,-45.99,9.65,6.22,Liz MacKendrick,North Platte,69101,Nebraska,Central,Corporate,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55
238,1600,2018-03-02,2018-03-03,Medium,36,191.6,0.04,Regular Air,-150.74,4.98,7.44,Liz MacKendrick,North Platte,69101,Nebraska,Central,Corporate,Office Supplies,Paper,Xerox 1922,Small Box,0.36
239,1604,2018-07-16,2018-07-16,Low,47,622.82,0,Regular Air,128.88,12.64,4.98,Rick Wilson,Wilmington,28403,North Carolina,South,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,0.48
246,1699,2018-12-29,2019-03-23,Critical,40,430.88,0.05,Regular Air,39,11.09,5.25,Art Ferguson,Richfield,55423,Minnesota,Central,Corporate,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,Small Box,0.36
250,1761,2018-12-23,2018-12-25,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49,Carl Ludwig,Wheeling,60090,Illinois,Central,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38
256,1792,2018-11-08,2018-11-13,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Wilmette,60091,Illinois,Central,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59
263,1825,2018-12-04,2018-12-06,Medium,22,38.26,0.03,Regular Air,-2.34,1.76,0.7,Aaron Smayling,Smithtown,11787,New York,East,Small Business,Office Supplies,Pens & Art Supplies,Newell 310,Wrap Bag,0.56
266,1831,2018-12-01,2018-12-02,Critical,33,12586.19,0,Delivery Truck,619.71,370.98,99,Ken Brennan,Mount Lebanon,15228,Pennsylvania,East,Home Office,Office Supplies,Storage & Organization,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Jumbo Drum,0.65
270,1857,2018-01-12,2018-01-13,High,37,199.76,0.07,Regular Air,20,5.58,1.99,Roy Phan,Bremerton,98310,Washington,West,Consumer,Office Supplies,Pens & Art Supplies,DIXON Ticonderoga® Erasable Checking Pencils,Wrap Bag,0.46
271,1863,2018-09-22,2018-09-23,Not Specified,26,2415.38,0.08,Delivery Truck,-1131.6,95.95,74.35,Sung Pak,Nampa,83686,Idaho,West,Small Business,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57
272,1888,2018-10-30,2018-10-30,Not Specified,38,1264.46,0,Delivery Truck,-1249.39,31.76,45.51,Kean Thornton,Palo Alto,94306,California,West,Corporate,Furniture,Tables,Hon iLevel™ Computer Training Table,Jumbo Box,0.65
273,1888,2018-10-30,2018-10-31,Not Specified,35,158.25,0.09,Regular Air,-114.7355,4.57,5.42,Kean Thornton,Paradise,95969,California,West,Corporate,Office Supplies,Binders and Binder Accessories,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Small Box,0.37
282,1953,2018-11-29,2018-11-29,Medium,13,137.64,0.06,Regular Air,19.5925,10.91,2.99,Sam Zeldin,Reynoldsburg,43068,Ohio,East,Small Business,Office Supplies,Binders and Binder Accessories,Heavy-Duty E-Z-D® Binders,Small Box,0.38
288,2020,2018-06-20,2018-06-22,Medium,42,213.75,0.03,Regular Air,-188.77,5.02,5.14,Sandra Glassco,Bismarck,58501,North Dakota,Central,Home Office,Technology,Computer Peripherals,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.79
292,2048,2018-11-14,2018-11-15,Critical,12,3752.61,0.01,Delivery Truck,637.93,294.62,42.52,Deanra Eno,Rose Hill,24281,Virginia,South,Corporate,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,Jumbo Drum,0.57
293,2048,2018-11-14,2018-11-15,Critical,9,548.36,0.1,Express Air,78.63,60.97,4.5,Deanra Eno,Rose Hill,24281,Virginia,South,Corporate,Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Small Box,0.56
301,2055,2018-09-03,2018-09-05,Critical,7,66.41,0.05,Regular Air,-32.35,8.74,8.29,Nora Paige,Antioch,94509,California,West,Small Business,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Small Box,0.38
302,2084,2018-03-16,2018-03-18,High,16,692.73,0.01,Regular Air,94.97,40.99,17.48,Andy Reiter,Westbrook,04092,Maine,East,Corporate,Office Supplies,Paper,Xerox 1893,Small Box,0.36
310,2149,2018-03-12,2018-03-16,Low,4,43.56,0.01,Regular Air,21.21,9.38,4.93,Lori Olson,Gadsden,35904,Alabama,South,Consumer,Furniture,Office Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Small Box,0.57
323,2213,2018-01-14,2018-01-15,Not Specified,6,40.31,0.08,Regular Air,-32.27,5.78,8.09,Sam Zeldin,Reynoldsburg,43068,Ohio,East,Small Business,Office Supplies,Paper,Xerox 1924,Small Box,0.36
326,2241,2018-05-10,2018-05-12,Critical,38,967.78,0.04,Regular Air,369.325,24.95,2.99,Sarah Brown,Columbia,38401,Tennessee,South,Consumer,Office Supplies,Binders and Binder Accessories,Large Capacity Hanging Post Binders,Small Box,0.39
327,2244,2018-01-08,2018-01-10,Critical,19,88.61,0.01,Express Air,21.471,3.8,1.49,Elpida Rittenbach,Newark,19711,Delaware,East,Consumer,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,Small Box,0.38
329,2272,2018-04-12,2018-04-12,High,39,7680.29,0.08,Delivery Truck,-513.79042,212.6,52.2,Grant Donatelli,Charleston,25314,West Virginia,East,Consumer,Furniture,Tables,Bush Advantage Collection® Round Conference Table,Jumbo Box,0.64
333,2279,2018-02-22,2018-02-23,Medium,49,4577.18,0,Delivery Truck,205.83,90.98,30,Rob Haberlin,Marshalltown,50158,Iowa,Central,Corporate,Furniture,Chairs & Chairmats,Office Star - Task Chair with Contemporary Loop Arms,Jumbo Drum,0.61
334,2279,2018-02-22,2018-02-24,Medium,39,845.9,0.04,Regular Air,52.53,20.98,5.42,Rob Haberlin,Marshalltown,50158,Iowa,Central,Corporate,Office Supplies,Storage & Organization,Acco Perma® 3000 Stacking Storage Drawers,Small Box,0.66
335,2305,2018-01-25,2018-01-27,High,33,3116.47,0.1,Delivery Truck,-1578.26,100.98,57.38,Maribeth Dona,Durango,81301,Colorado,West,Home Office,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78
336,2305,2018-01-25,2018-01-26,High,1,12.41,0.01,Regular Air,-9.08,6.68,5.66,Maribeth Dona,Durango,81301,Colorado,West,Home Office,Office Supplies,Paper,Xerox 1923,Small Box,0.37
337,2305,2018-01-25,2018-01-25,High,11,1382.8,0.01,Regular Air,141.31,120.33,19.99,Maribeth Dona,Hawthorne,07506,New Jersey,East,Home Office,Office Supplies,Storage & Organization,Iceberg Mobile Mega Data/Printer Cart ®,Small Box,0.59
339,2307,2018-06-28,2018-06-28,Low,32,182.33,0.1,Regular Air,40.851,5.98,1.49,Carol Adams,Randallstown,21133,Maryland,East,Corporate,Office Supplies,Binders and Binder Accessories,Avery Hanging File Binders,Small Box,0.39
342,2339,2018-12-14,2018-12-16,Low,12,1634.98,0.09,Regular Air,-120.45,140.85,19.99,Jennifer Braxton,Richmond,47374,Indiana,Central,Small Business,Office Supplies,Storage & Organization,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Small Box,0.73
343,2341,2018-05-29,2018-06-05,Low,29,157.49,0.09,Regular Air,-58.25,5.78,4.96,Sara Luxemburg,El Centro,92243,California,West,Small Business,Office Supplies,Paper,Xerox 1899,Small Box,0.36
344,2368,2018-08-19,2018-08-21,Critical,36,508.73,0.08,Regular Air,-229.67,14.81,13.32,Sally Hughsby,North Olmsted,44070,Ohio,East,Consumer,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Small Box,0.43
348,2374,2018-10-28,2018-10-30,Not Specified,21,78.17,0.01,Express Air,-72.703,2.84,5.44,Vivek Gonzalez,Aspen Hill,20906,Maryland,East,Consumer,Office Supplies,Binders and Binder Accessories,Avery Round Ring Poly Binders,Small Box,0.36
351,2438,2018-07-14,2018-07-17,High,20,278.68,0.06,Regular Air,8.8995,14.48,6.46,Andrew Allen,Fort Collins,80525,Colorado,West,Corporate,Office Supplies,Binders and Binder Accessories,"GBC White Gloss Covers, Plain Front",Small Box,0.38
352,2438,2018-07-14,2018-07-16,High,23,717.468,0.01,Regular Air,316.476,35.99,0.99,Andrew Allen,Fort Collins,80525,Colorado,West,Corporate,Technology,Telephones and Communication,Accessory31,Small Pack,0.35
358,2503,2018-06-19,2018-06-20,Medium,21,91.15,0.03,Regular Air,-71.5415,4.13,5.34,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Office Supplies,Binders and Binder Accessories,ACCOHIDE® Binder by Acco,Small Box,0.38
359,2503,2018-06-19,2018-06-20,Medium,46,171.48,0.1,Regular Air,66.13,4.13,0.5,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39
360,2503,2018-06-19,2018-06-21,Medium,9,162.1545,0.08,Regular Air,-73.744,20.99,4.81,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Technology,Telephones and Communication,1726 Digital Answering Machine,Medium Box,0.58
364,2535,2018-05-24,2018-05-26,Low,6,82.72,0.08,Regular Air,-29.71,14.48,1.99,Roland Fjeld,El Cajon,92020,California,West,Corporate,Technology,Computer Peripherals,TDK 4.7GB DVD+RW,Small Pack,0.49
370,2563,2018-11-18,2018-11-19,Not Specified,12,31.77,0.04,Regular Air,8.34,2.61,0.5,Brenda Bowman,Vicksburg,39180,Mississippi,South,Small Business,Office Supplies,Labels,Avery 494,Small Box,0.39
371,2563,2018-11-18,2018-11-19,Not Specified,33,208.05,0.01,Regular Air,46.01,5.98,0.96,Brenda Bowman,Vicksburg,39180,Mississippi,South,Small Business,Office Supplies,Pens & Art Supplies,Newell 315,Wrap Bag,0.6
372,2593,2018-09-03,2018-09-05,High,5,2004.12,0.1,Express Air,276.675,420.98,19.99,John Dryer,Marietta,30062,Georgia,South,Corporate,Office Supplies,Binders and Binder Accessories,GBC DocuBind 200 Manual Binding Machine,Small Box,0.35
373,2593,2018-09-03,2018-09-04,High,15,3841.72,0.03,Delivery Truck,691.13,243.98,43.32,John Dryer,Marietta,30062,Georgia,South,Corporate,Furniture,Chairs & Chairmats,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Jumbo Drum,0.55
378,2628,2018-10-21,2018-10-26,Low,14,34.59,0.04,Regular Air,-60.13,2.18,5,Eileen Kiefer,Waxahachie,75165,Texas,Central,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",*Staples* Letter Opener,Wrap Bag,0.81
379,2628,2018-10-21,2018-10-30,Low,29,5029.216,0.02,Delivery Truck,-752.832,218.75,69.64,Eileen Kiefer,Waxahachie,75165,Texas,Central,Consumer,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Jumbo Box,0.77
381,2631,2018-09-23,2018-09-25,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Country Club Hills,60478,Illinois,Central,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55
382,2656,2018-05-03,2018-05-04,Critical,3,523.11,0.05,Delivery Truck,-214.533,159.31,60,Nathan Cano,Eden Prairie,55343,Minnesota,Central,Consumer,Furniture,Tables,Hon Non-Folding Utility Tables,Jumbo Drum,0.55
383,2656,2018-05-03,2018-05-05,Critical,29,913.41,0.01,Regular Air,237.141,35.99,1.25,Nathan Cano,Eden Prairie,55343,Minnesota,Central,Consumer,Technology,Telephones and Communication,Accessory13,Small Pack,0.57
388,2659,2018-12-17,2018-12-19,Not Specified,50,881.65,0.08,Regular Air,41.27,18.97,9.03,Alice McCarthy,Kearns,84118,Utah,West,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37
393,2720,2018-06-07,2018-06-10,Critical,36,2051.016,0.02,Express Air,483.966,65.99,3.99,Christopher Martinez,Southgate,48195,Michigan,Central,Small Business,Technology,Telephones and Communication,StarTAC 7760,Small Box,0.59
396,2752,2018-11-18,2018-11-20,High,30,695.47,0.03,Regular Air,226.73,22.98,1.99,Todd Boyes,Superior,54880,Wisconsin,Central,Small Business,Technology,Computer Peripherals,"Memorex 80 Minute CD-R, 30/Pack",Small Pack,0.46
